            3.0000000000,            2.0000000000,            1.3394227170,            1.0294304663,            0.5712019400,            1.4090461000,            0.0000000000,            0.0000000000,            0.0000000060,            0.0000000000
            3.0000000000,           10.0000000000,            6.6971135376,            5.1471523433,           71.4002430000,           35.2261520000,            0.0000000000,            0.0000000000,            0.0000007499,            0.0000000000
            3.0000000000,           50.0000000000,           33.4855678780,           25.7357617404,         8925.0304000000,          880.6538100000,            0.0000000002,            0.0000000001,            0.0000937427,            0.0000000000
            3.0000000000,          100.0000000000,           66.9711353758,           51.4715234328,        71400.2430000000,         3522.6152000000,            0.0000000113,            0.0000000076,            0.0007499488,            0.0000000000
            3.0000000000,          500.0000000000,          334.8556787802,          257.3576174041,      8925030.4000000004,        88065.3810000000,            0.0001769016,            0.0001180122,            0.0938185602,            0.0000001015
            3.0000000000,         1000.0000000000,          669.7113537581,          514.7152343277,     71400243.0000000000,       352261.5200000000,            0.0113165331,            0.0075511862,            0.7570956060,            0.0000072299
            3.0000000000,         1500.0000000000,         1004.5670369744,          772.0728513581,    240975820.0000000000,       792588.4300000001,            0.1288617994,            0.0860123369,            2.6165216168,            0.0000835134
            3.0000000000,         2000.0000000000,         1339.4227170221,         1029.4304662524,    571201940.0000000000,      1409046.1000000001,            0.7236175192,            0.4832002300,            6.4828213034,            0.0004658035
            3.0000000000,         2500.0000000000,         1674.2783843953,         1286.7880870207,   1115628800.0000000000,      2201634.5000000000,            2.7584890019,            1.8430003336,           13.5660156103,            0.0017783979
            3.0000000000,         3000.0000000000,         2009.1340676116,         1544.1457133959,   1927806600.0000000000,      3170353.7000000002,            8.2296655714,            5.5020541422,           25.7689252780,            0.0053201908
            3.0000000000,         3500.0000000000,         2343.9897598811,         1801.5033164935,   3061285400.0000000000,      4315203.7000000002,           20.7265765066,           13.8679733575,           46.0589998637,            0.0135351799
            3.0000000000,         4000.0000000000,         2678.8454340442,         2058.8609295012,   4569615500.0000000000,      5636184.4000000004,           46.1363084737,           30.8975398552,           78.9921614239,            0.0305869884
            3.0000000000,         4500.0000000000,         3013.7010961363,         2316.2185493276,   6506347100.0000000000,      7133295.7999999998,           93.4279736106,           62.6336339053,          131.1803039673,            0.0633194077
            3.0000000000,         5000.0000000000,         3348.5567878023,         2573.5761740415,   8925030400.0000000000,      8806538.0999999996,          175.5879745253,          117.8486045933,          211.9864409695,            0.1206772252
            3.0000000000,         5500.0000000000,         3683.4124491263,         2830.9337547141,  11879215000.0000000000,     10655911.0000000000,          310.6833403965,          208.7841066632,          334.2511424210,            0.2159761843
            3.0000000000,         6000.0000000000,         4018.2681669094,         3088.2913733928,  15422452000.0000000000,     12681415.0000000000,          522.7604289014,          351.7904473733,          514.8532875230,            0.3674456917
            3.0000000000,         6500.0000000000,         4353.1237672539,         3345.6490382658,  19608292000.0000000000,     14883049.0000000000,          843.5238367356,          568.5029275797,          776.0963547941,            0.5986066907
            3.0000000000,         7000.0000000000,         4687.9795469219,         3603.0066231790,  24490283000.0000000000,     17260815.0000000000,         1313.4200830612,          886.6345517303,         1146.3142851625,            0.9402774375
            3.0000000000,         7500.0000000000,         5022.8352165584,         3860.3642354306,  30121977000.0000000000,     19814711.0000000000,         1983.0570390506,         1341.0137278870,         1660.9450456220,            1.4267698785
            3.0000000000,         8000.0000000000,         5357.6907967943,         4117.7218590024,  36556924000.0000000000,     22544737.0000000000,         2914.6066512072,         1974.6274910982,         2363.5611443693,            2.1038650921
            3.0000000000,         8500.0000000000,         5692.5465270740,         4375.0794840569,  43848674000.0000000000,     25450895.0000000000,         4182.9853286949,         2839.5671058280,         3306.7994106060,            3.0325179588
            3.0000000000,         9000.0000000000,         6027.4021711485,         4632.4371045884,  52050777000.0000000000,     28533183.0000000000,         5878.0473754915,         3998.6559069981,         4554.0923150990,            4.2925616569
            3.0000000000,         9500.0000000000,         6362.2578426909,         4889.7947170039,  61216783000.0000000000,     31791602.0000000000,         8106.6760299916,         5526.9956016063,         6181.1953969531,            5.9661082243
            3.0000000000,        10000.0000000000,         6697.1135375811,         5147.1523432770,  71400243000.0000000000,     35226152.0000000000,        10993.9617307261,         7513.0931039940,         8277.2918380755,            8.1667545321
