           94.0000000000,            2.0000000000,            1.3394227170,            1.0294304663,            0.5712019400,            1.4090461000,            0.0000000000,            0.0000000000,            0.0000036048,            0.0005699647
           94.0000000000,           10.0000000000,            6.6971135376,            5.1471523433,           71.4002430000,           35.2261520000,            0.0000000109,            0.0000000073,            0.0004506100,            0.0005696743
           94.0000000000,           50.0000000000,           33.4855678780,           25.7357617404,         8925.0304000000,          880.6538100000,            0.0001704258,            0.0001137606,            0.0564336039,            0.0006448956
           94.0000000000,          100.0000000000,           66.9711353758,           51.4715234328,        71400.2430000000,         3522.6152000000,            0.0108808540,            0.0072759819,            0.4583420121,            0.0006473838
           94.0000000000,          500.0000000000,          334.8556787802,          257.3576174041,      8925030.4000000004,        88065.3810000000,          158.3404680618,          112.0596761389,          170.8665657853,            0.0008740834
           94.0000000000,         1000.0000000000,          669.7113537581,          514.7152343277,     71400243.0000000000,       352261.5200000000,         7971.6873977350,         6755.3014694671,         7275.9719111841,            0.0014949064
           94.0000000000,         1500.0000000000,         1004.5670369744,          772.0728513581,    240975820.0000000000,       792588.4300000001,        58095.4283557773,        67994.0942725312,        69975.9791452350,            0.0029193377
           94.0000000000,         2000.0000000000,         1339.4227170221,         1029.4304662524,    571201940.0000000000,      1409046.1000000001,       159767.8250479873,       313705.5331481861,       318970.7254992720,            0.0059025405
           94.0000000000,         2500.0000000000,         1674.2783843953,         1286.7880870207,   1115628800.0000000000,      2201634.5000000000,       269312.3374136223,       976004.2513624647,       987668.3178963250,            0.0116214362
           94.0000000000,         3000.0000000000,         2009.1340676116,         1544.1457133959,   1927806600.0000000000,      3170353.7000000002,       577954.4035137615,      2472178.4348454154,      2494749.4560213168,            0.0240009909
           94.0000000000,         3500.0000000000,         2343.9897598811,         1801.5033164935,   3061285400.0000000000,      4315203.7000000002,      1122788.7272546883,      5062835.5114973392,      5101395.8403474409,            0.0484774176
           94.0000000000,         4000.0000000000,         2678.8454340442,         2058.8609295012,   4569615500.0000000000,      5636184.4000000004,      1857015.7261464265,      9010139.6261247136,      9072639.8626956418,            0.0676141215
           94.0000000000,         4500.0000000000,         3013.7010961363,         2316.2185493276,   6506347100.0000000000,      7133295.7999999998,      3388463.7951915953,     14158761.0623333342,     14252732.3195901792,            0.0652988627
           94.0000000000,         5000.0000000000,         3348.5567878023,         2573.5761740415,   8925030400.0000000000,      8806538.0999999996,      4934184.4304110017,     20628712.5242626108,     20767443.4073870704,            0.0941024557
           94.0000000000,         5500.0000000000,         3683.4124491263,         2830.9337547141,  11879215000.0000000000,     10655911.0000000000,      6232659.3986358820,     28124881.6535061784,     28323866.4453997016,            0.1503563620
           94.0000000000,         6000.0000000000,         4018.2681669094,         3088.2913733928,  15422452000.0000000000,     12681415.0000000000,      8075789.6341477260,     36055965.8625032976,     36330139.9831194952,            0.2299794931
           94.0000000000,         6500.0000000000,         4353.1237672539,         3345.6490382658,  19608292000.0000000000,     14883049.0000000000,     10735944.8909469917,     43505812.0065432191,     43863621.1620848998,            0.3203095622
           94.0000000000,         7000.0000000000,         4687.9795469219,         3603.0066231790,  24490283000.0000000000,     17260815.0000000000,     14103682.1834582593,     51466656.4470291436,     51933535.8180209994,            0.3813648726
           94.0000000000,         7500.0000000000,         5022.8352165584,         3860.3642354306,  30121977000.0000000000,     19814711.0000000000,     17896235.6525924727,     59456999.0710546672,     60037516.2244326025,            0.3946138562
           94.0000000000,         8000.0000000000,         5357.6907967943,         4117.7218590024,  36556924000.0000000000,     22544737.0000000000,     22160787.3094908036,     67990290.7101128101,     68710106.7204299122,            0.3931160965
           94.0000000000,         8500.0000000000,         5692.5465270740,         4375.0794840569,  43848674000.0000000000,     25450895.0000000000,     26664293.6943453252,     76338493.2851418704,     77203704.3917414993,            0.3839695882
           94.0000000000,         9000.0000000000,         6027.4021711485,         4632.4371045884,  52050777000.0000000000,     28533183.0000000000,     29619797.0256377533,     84799181.6669376045,     85844098.3515381068,            0.3991560710
           94.0000000000,         9500.0000000000,         6362.2578426909,         4889.7947170039,  61216783000.0000000000,     31791602.0000000000,     34078362.8764382601,     93764348.9015720636,     95019274.1565136015,            0.4136250498
           94.0000000000,        10000.0000000000,         6697.1135375811,         5147.1523432770,  71400243000.0000000000,     35226152.0000000000,     38246712.2100698799,    101812002.7106145769,    103293169.9565480053,            0.4261862340
